PVT_p	PVT_m(p)
5484.700000	1030903716.074914
5494.700000	1032787765.847010
5504.700000	1034670177.782654
5514.700000	1036550951.855109
5524.700000	1038433776.498462
5534.700000	1040314968.638336
5544.700000	1042194528.259891
5554.700000	1044062476.653440
5564.700000	1045938760.578705
5574.700000	1047817113.865638
5584.700000	1049683829.535186
5594.700000	1051548897.093922
5604.700000	1053422348.027898
5614.700000	1055284130.148252
5624.700000	1057147979.469057
5634.700000	1059010186.442960
5644.700000	1060870751.227643
5654.700000	1062733396.679526
5664.700000	1064590680.180152
5674.700000	1066450049.867206
5684.700000	1068297669.462479
5694.700000	1070153756.514883
5704.700000	1072001809.203314
5714.700000	1073854617.106903
5724.700000	1075699376.095552
5734.700000	1077542484.951157
