t	Reservoir_p	bhp	Reservoir_m(p)	Downhole_m(p)	Delta_m(p)
31504.000000	958.302000	300.000000	937412362.450065	6715497.606019	930696864.844046
31568.000000	956.882000	300.000000	937412362.450065	6715497.606019	930696864.844046
31632.000000	955.466000	300.000000	937412362.450065	6715497.606019	930696864.844046
31696.000000	954.055000	300.000000	937412362.450065	6715497.606019	930696864.844046
31760.000000	952.649000	300.000000	937412362.450065	6715497.606019	930696864.844046
31824.000000	951.247000	300.000000	937412362.450065	6715497.606019	930696864.844046
31888.000000	949.850000	300.000000	937412362.450065	6715497.606019	930696864.844046
31952.000000	948.456000	300.000000	937412362.450065	6715497.606019	930696864.844046
32016.000000	947.068000	300.000000	937412362.450065	6715497.606019	930696864.844046
32080.000000	945.683000	300.000000	937412362.450065	6715497.606019	930696864.844046
32144.000000	944.303000	300.000000	937412362.450065	6715497.606019	930696864.844046
32208.000000	942.928000	300.000000	937412362.450065	6715497.606019	930696864.844046
32272.000000	941.557000	300.000000	937412362.450065	6715497.606019	930696864.844046
32336.000000	940.190000	300.000000	937412362.450065	6715497.606019	930696864.844046
32400.000000	938.827000	300.000000	937412362.450065	6715497.606019	930696864.844046
32464.000000	937.469000	300.000000	937412362.450065	6715497.606019	930696864.844046
32528.000000	936.115000	300.000000	937412362.450065	6715497.606019	930696864.844046
32592.000000	934.765000	300.000000	937412362.450065	6715497.606019	930696864.844046
32656.000000	933.419000	300.000000	937412362.450065	6715497.606019	930696864.844046
32720.000000	932.078000	300.000000	937412362.450065	6715497.606019	930696864.844046
32784.000000	930.740000	300.000000	937412362.450065	6715497.606019	930696864.844046
32850.000000	929.366000	300.000000	937412362.450065	6715497.606019	930696864.844046
32914.000000	928.037000	300.000000	937412362.450065	6715497.606019	930696864.844046
32978.000000	926.712000	300.000000	937412362.450065	6715497.606019	930696864.844046
33042.000000	925.392000	300.000000	937412362.450065	6715497.606019	930696864.844046
33106.000000	924.075000	300.000000	937412362.450065	6715497.606019	930696864.844046
33170.000000	922.763000	300.000000	937412362.450065	6715497.606019	930696864.844046
33234.000000	921.454000	300.000000	937412362.450065	6715497.606019	930696864.844046
33298.000000	920.150000	300.000000	937412362.450065	6715497.606019	930696864.844046
33362.000000	918.850000	300.000000	937412362.450065	6715497.606019	930696864.844046
33426.000000	917.553000	300.000000	937412362.450065	6715497.606019	930696864.844046
33490.000000	916.261000	300.000000	937412362.450065	6715497.606019	930696864.844046
33554.000000	914.973000	300.000000	937412362.450065	6715497.606019	930696864.844046
33618.000000	913.688000	300.000000	937412362.450065	6715497.606019	930696864.844046
33682.000000	912.408000	300.000000	937412362.450065	6715497.606019	930696864.844046
33746.000000	911.131000	300.000000	937412362.450065	6715497.606019	930696864.844046
33810.000000	909.858000	300.000000	937412362.450065	6715497.606019	930696864.844046
33874.000000	908.590000	300.000000	937412362.450065	6715497.606019	930696864.844046
33938.000000	907.325000	300.000000	937412362.450065	6715497.606019	930696864.844046
34002.000000	906.064000	300.000000	937412362.450065	6715497.606019	930696864.844046
34066.000000	904.806000	300.000000	937412362.450065	6715497.606019	930696864.844046
34130.000000	903.553000	300.000000	937412362.450065	6715497.606019	930696864.844046
34194.000000	902.303000	300.000000	937412362.450065	6715497.606019	930696864.844046
34258.000000	901.057000	300.000000	937412362.450065	6715497.606019	930696864.844046
34322.000000	899.815000	300.000000	937412362.450065	6715497.606019	930696864.844046
34386.000000	898.577000	300.000000	937412362.450065	6715497.606019	930696864.844046
34450.000000	897.342000	300.000000	937412362.450065	6715497.606019	930696864.844046
34514.000000	896.111000	300.000000	937412362.450065	6715497.606019	930696864.844046
34578.000000	894.884000	300.000000	937412362.450065	6715497.606019	930696864.844046
34642.000000	893.661000	300.000000	937412362.450065	6715497.606019	930696864.844046
34706.000000	892.441000	300.000000	937412362.450065	6715497.606019	930696864.844046
34770.000000	891.225000	300.000000	937412362.450065	6715497.606019	930696864.844046
34834.000000	890.012000	300.000000	937412362.450065	6715497.606019	930696864.844046
34898.000000	888.803000	300.000000	937412362.450065	6715497.606019	930696864.844046
34962.000000	887.598000	300.000000	937412362.450065	6715497.606019	930696864.844046
35026.000000	886.396000	300.000000	937412362.450065	6715497.606019	930696864.844046
35090.000000	885.198000	300.000000	937412362.450065	6715497.606019	930696864.844046
35154.000000	884.004000	300.000000	937412362.450065	6715497.606019	930696864.844046
35218.000000	882.813000	300.000000	937412362.450065	6715497.606019	930696864.844046
35282.000000	881.625000	300.000000	937412362.450065	6715497.606019	930696864.844046
35346.000000	880.441000	300.000000	937412362.450065	6715497.606019	930696864.844046
35410.000000	879.261000	300.000000	937412362.450065	6715497.606019	930696864.844046
35474.000000	878.084000	300.000000	937412362.450065	6715497.606019	930696864.844046
35538.000000	876.911000	300.000000	937412362.450065	6715497.606019	930696864.844046
35602.000000	875.741000	300.000000	937412362.450065	6715497.606019	930696864.844046
35666.000000	874.574000	300.000000	937412362.450065	6715497.606019	930696864.844046
35730.000000	873.411000	300.000000	937412362.450065	6715497.606019	930696864.844046
35794.000000	872.251000	300.000000	937412362.450065	6715497.606019	930696864.844046
35858.000000	871.095000	300.000000	937412362.450065	6715497.606019	930696864.844046
35922.000000	869.942000	300.000000	937412362.450065	6715497.606019	930696864.844046
35986.000000	868.793000	300.000000	937412362.450065	6715497.606019	930696864.844046
36050.000000	867.647000	300.000000	937412362.450065	6715497.606019	930696864.844046
36114.000000	866.504000	300.000000	937412362.450065	6715497.606019	930696864.844046
36178.000000	865.364000	300.000000	937412362.450065	6715497.606019	930696864.844046
36242.000000	864.228000	300.000000	937412362.450065	6715497.606019	930696864.844046
36306.000000	863.095000	300.000000	937412362.450065	6715497.606019	930696864.844046
36370.000000	861.966000	300.000000	937412362.450065	6715497.606019	930696864.844046
36434.000000	860.840000	300.000000	937412362.450065	6715497.606019	930696864.844046
36500.000000	859.682000	300.000000	937412362.450065	6715497.606019	930696864.844046
36564.000000	858.562000	300.000000	937412362.450065	6715497.606019	930696864.844046
36628.000000	857.446000	300.000000	937412362.450065	6715497.606019	930696864.844046
36692.000000	856.333000	300.000000	937412362.450065	6715497.606019	930696864.844046
36756.000000	855.223000	300.000000	937412362.450065	6715497.606019	930696864.844046
36820.000000	854.116000	300.000000	937412362.450065	6715497.606019	930696864.844046
36884.000000	853.013000	300.000000	937412362.450065	6715497.606019	930696864.844046
36948.000000	851.913000	300.000000	937412362.450065	6715497.606019	930696864.844046
37012.000000	850.815000	300.000000	937412362.450065	6715497.606019	930696864.844046
37076.000000	849.721000	300.000000	937412362.450065	6715497.606019	930696864.844046
37140.000000	848.630000	300.000000	937412362.450065	6715497.606019	930696864.844046
37204.000000	847.543000	300.000000	937412362.450065	6715497.606019	930696864.844046
37268.000000	846.458000	300.000000	937412362.450065	6715497.606019	930696864.844046
37332.000000	845.376000	300.000000	937412362.450065	6715497.606019	930696864.844046
37396.000000	844.298000	300.000000	937412362.450065	6715497.606019	930696864.844046
37460.000000	843.223000	300.000000	937412362.450065	6715497.606019	930696864.844046
37524.000000	842.150000	300.000000	937412362.450065	6715497.606019	930696864.844046
37588.000000	841.081000	300.000000	937412362.450065	6715497.606019	930696864.844046
37652.000000	840.015000	300.000000	937412362.450065	6715497.606019	930696864.844046
37716.000000	838.952000	300.000000	937412362.450065	6715497.606019	930696864.844046
37780.000000	837.892000	300.000000	937412362.450065	6715497.606019	930696864.844046
37844.000000	836.835000	300.000000	937412362.450065	6715497.606019	930696864.844046
37908.000000	835.780000	300.000000	937412362.450065	6715497.606019	930696864.844046
37972.000000	834.729000	300.000000	937412362.450065	6715497.606019	930696864.844046
38036.000000	833.681000	300.000000	937412362.450065	6715497.606019	930696864.844046
38100.000000	832.636000	300.000000	937412362.450065	6715497.606019	930696864.844046
38164.000000	831.594000	300.000000	937412362.450065	6715497.606019	930696864.844046
38228.000000	830.554000	300.000000	937412362.450065	6715497.606019	930696864.844046
38292.000000	829.518000	300.000000	937412362.450065	6715497.606019	930696864.844046
38356.000000	828.484000	300.000000	937412362.450065	6715497.606019	930696864.844046
38420.000000	827.454000	300.000000	937412362.450065	6715497.606019	930696864.844046
38484.000000	826.426000	300.000000	937412362.450065	6715497.606019	930696864.844046
38548.000000	825.401000	300.000000	937412362.450065	6715497.606019	930696864.844046
38612.000000	824.379000	300.000000	937412362.450065	6715497.606019	930696864.844046
38676.000000	823.360000	300.000000	937412362.450065	6715497.606019	930696864.844046
38740.000000	822.344000	300.000000	937412362.450065	6715497.606019	930696864.844046
38804.000000	821.330000	300.000000	937412362.450065	6715497.606019	930696864.844046
38868.000000	820.320000	300.000000	937412362.450065	6715497.606019	930696864.844046
38932.000000	819.312000	300.000000	937412362.450065	6715497.606019	930696864.844046
38996.000000	818.307000	300.000000	937412362.450065	6715497.606019	930696864.844046
39060.000000	817.305000	300.000000	937412362.450065	6715497.606019	930696864.844046
39124.000000	816.305000	300.000000	937412362.450065	6715497.606019	930696864.844046
39188.000000	815.309000	300.000000	937412362.450065	6715497.606019	930696864.844046
39252.000000	814.315000	300.000000	937412362.450065	6715497.606019	930696864.844046
39316.000000	813.324000	300.000000	937412362.450065	6715497.606019	930696864.844046
39380.000000	812.335000	300.000000	937412362.450065	6715497.606019	930696864.844046
39444.000000	811.350000	300.000000	937412362.450065	6715497.606019	930696864.844046
39508.000000	810.366000	300.000000	937412362.450065	6715497.606019	930696864.844046
39572.000000	809.386000	300.000000	937412362.450065	6715497.606019	930696864.844046
39636.000000	808.409000	300.000000	937412362.450065	6715497.606019	930696864.844046
39700.000000	807.434000	300.000000	937412362.450065	6715497.606019	930696864.844046
39764.000000	806.462000	300.000000	937412362.450065	6715497.606019	930696864.844046
39828.000000	805.492000	300.000000	937412362.450065	6715497.606019	930696864.844046
39892.000000	804.525000	300.000000	937412362.450065	6715497.606019	930696864.844046
39956.000000	803.561000	300.000000	937412362.450065	6715497.606019	930696864.844046
40020.000000	802.599000	300.000000	937412362.450065	6715497.606019	930696864.844046
40084.000000	801.640000	300.000000	937412362.450065	6715497.606019	930696864.844046
40150.000000	800.654000	300.000000	937412362.450065	6715497.606019	930696864.844046
40214.000000	799.701000	300.000000	937412362.450065	6715497.606019	930696864.844046
40278.000000	798.750000	300.000000	937412362.450065	6715497.606019	930696864.844046
40342.000000	797.801000	300.000000	937412362.450065	6715497.606019	930696864.844046
